Date,Open,High,Low,Close,Volume,Adj Close
2013-04-17,102.56,103.11,102.00,102.54,4191500,102.54
2013-04-16,102.40,103.05,102.02,103.04,3199300,103.04
2013-04-15,103.14,103.44,102.13,102.15,5643600,102.15
2013-04-12,101.50,103.70,101.50,103.59,5714000,103.59
2013-04-11,101.34,102.47,101.34,101.99,4049400,101.99
2013-04-10,101.12,101.74,101.01,101.49,3159400,101.49
2013-04-09,101.50,101.50,100.57,101.06,3690400,101.06
2013-04-08,101.08,101.50,100.85,101.50,4163600,101.50
2013-04-05,100.17,101.47,99.81,101.42,5693000,101.42
2013-04-04,99.54,100.81,99.53,100.63,5860600,100.63
2013-04-03,100.21,100.50,99.06,99.25,4454400,99.25
2013-04-02,99.40,100.42,99.03,100.26,5136800,100.26
2013-04-01,99.41,99.68,98.85,99.05,3155800,99.05
2013-03-28,98.88,99.78,98.67,99.69,3954700,99.69
2013-03-27,98.19,99.29,98.18,98.90,4401700,98.90
2013-03-26,98.35,98.67,98.26,98.50,4434000,98.50
2013-03-25,99.46,99.60,98.12,98.24,4932500,98.24
2013-03-22,98.52,99.62,98.52,99.27,4160000,99.27
2013-03-21,98.50,98.88,98.42,98.53,3523400,98.53
2013-03-20,98.59,98.90,98.59,98.77,3534900,98.77
2013-03-19,98.78,98.99,98.20,98.40,4648500,98.40
2013-03-18,98.95,99.34,98.21,98.57,3934500,98.57
2013-03-15,98.97,99.70,98.82,99.67,6388000,99.67
2013-03-14,99.36,99.38,98.90,99.31,3649900,99.31
2013-03-13,98.74,99.47,98.54,99.38,3896600,99.38
2013-03-12,98.86,98.87,98.53,98.76,3856000,98.76
2013-03-11,98.46,98.89,98.28,98.89,4853400,98.89
2013-03-08,98.13,98.95,98.03,98.71,8838100,98.71
2013-03-07,96.64,97.16,96.64,97.09,4566400,97.09
2013-03-06,95.95,96.82,95.93,96.81,5052000,96.81
2013-03-05,95.54,96.10,95.33,95.81,5643000,95.81
2013-03-04,95.60,95.67,94.87,95.07,4636900,95.07
2013-03-01,95.68,95.82,94.96,95.68,3823200,95.68
2013-02-28,95.71,96.22,95.51,95.90,3967600,95.90
2013-02-27,95.36,95.95,95.11,95.73,4326800,95.73
2013-02-26,96.35,96.57,96.05,96.22,6451100,95.45
2013-02-25,95.38,96.78,95.26,96.14,9028000,95.37
2013-02-22,94.27,95.25,93.85,95.25,4421300,94.49
2013-02-21,93.44,94.45,93.30,94.14,4424600,93.39
2013-02-20,93.93,94.48,93.75,93.91,4023800,93.16
2013-02-19,94.14,94.49,93.77,93.85,4401900,93.10
2013-02-15,93.81,94.31,93.21,93.90,5094100,93.15
2013-02-14,93.86,93.89,93.19,93.56,5360900,92.81
2013-02-13,94.64,94.75,93.48,94.00,6663100,93.25
2013-02-12,95.05,95.34,94.81,95.10,4526900,94.34
2013-02-11,94.75,95.31,94.60,95.17,3557600,94.41
2013-02-08,94.39,95.48,94.36,94.87,5331600,94.11
2013-02-07,95.03,95.06,94.07,94.63,5619600,93.87
2013-02-06,94.49,95.33,94.41,95.07,4482700,94.31
2013-02-05,94.59,95.54,94.51,94.91,4952800,94.15
2013-02-04,95.40,95.79,94.50,94.60,5933300,93.84
2013-02-01,95.58,96.32,95.50,95.95,5481100,95.18
2013-01-31,94.60,95.29,94.46,95.29,5740500,94.53
2013-01-30,94.88,95.10,94.43,94.67,4657600,93.91
2013-01-29,94.15,94.99,94.05,94.92,4929700,94.16
2013-01-28,93.94,94.58,93.64,94.36,4564600,93.60
2013-01-25,93.31,93.94,93.28,93.72,5461600,92.97
2013-01-24,93.58,93.60,93.02,93.31,5157200,92.56
2013-01-23,93.45,93.75,92.25,93.48,9368000,92.73
2013-01-22,92.15,93.33,91.81,92.95,6967300,92.21
2013-01-18,92.07,92.30,91.85,92.26,5579900,91.52
2013-01-17,91.45,92.10,91.31,91.76,4044600,91.03
2013-01-16,91.13,91.32,90.91,91.10,2925800,90.37
2013-01-15,91.11,91.63,90.86,91.51,3910400,90.78
2013-01-14,91.76,92.12,91.43,91.53,3828100,90.80
2013-01-11,91.94,91.98,91.05,91.73,3692600,91.00
2013-01-10,91.35,91.64,91.03,91.40,4393300,90.67
2013-01-09,90.80,91.24,90.36,90.81,4822100,90.08
2013-01-08,90.54,90.96,89.97,90.94,6285200,90.21
2013-01-07,89.77,91.05,89.25,90.91,5820900,90.18
2013-01-04,90.62,90.79,89.67,89.85,5374100,89.13
2013-01-03,90.31,90.70,90.16,90.63,5473500,89.90
2013-01-02,89.40,90.35,89.33,90.12,7377200,89.40
2012-12-31,87.42,88.25,86.81,88.21,6236600,87.50
2012-12-28,88.24,88.54,87.47,87.58,3725600,86.88
2012-12-27,88.90,89.13,87.76,88.72,4576600,88.01
2012-12-26,89.12,89.37,88.39,88.74,3054000,88.03
2012-12-24,89.59,89.69,89.10,89.29,2375000,88.58
